format,input_dtype,output_dtype,mode,round,distribution,max_abs,mae,mse,payload_ratio,file_ratio
1,0,1,0,1,outliers,46.1752929688,0.093191035197,0.524410181958,3.86567164179,3.86009161014
1,0,1,1,0,uniform,0.0624995231628,0.0208574278551,0.000744207366505,3.99993990746,3.99394084828
1,0,1,1,0,normal,0.249968290329,0.0358478071186,0.00279599204556,3.99993990746,3.99394084828
1,0,1,1,0,outliers,17.8247070312,0.0691940492003,0.237825957803,3.99993990746,3.99394084828
1,0,1,1,1,uniform,0.123611390591,0.0278709029336,0.00149759422166,3.99993990746,3.99394084828
1,0,1,1,1,normal,0.4967212677,0.0477915948161,0.00560063866679,3.99993990746,3.99394084828
1,0,1,1,1,outliers,46.1752929688,0.093191035197,0.524410181958,3.99993990746,3.99394084828
1,0,2,0,0,uniform,0.0624995231628,0.0208574278551,0.000744207366505,3.86567164179,3.86009161014
1,0,2,0,0,normal,0.249968290329,0.0358478071186,0.00279599204556,3.86567164179,3.86009161014
1,0,2,0,0,outliers,17.8247070312,0.0691940492003,0.237825957803,3.86567164179,3.86009161014
1,0,2,0,1,uniform,0.123611390591,0.0278709029336,0.00149759422166,3.86567164179,3.86009161014
1,0,2,0,1,normal,0.4967212677,0.0477915948161,0.00560063866679,3.86567164179,3.86009161014
1,0,2,0,1,outliers,46.1752929688,0.093191035197,0.524410181958,3.86567164179,3.86009161014
1,0,2,1,0,uniform,0.0624995231628,0.0208574278551,0.000744207366505,3.99993990746,3.99394084828
1,0,2,1,0,normal,0.249968290329,0.0358478071186,0.00279599204556,3.99993990746,3.99394084828
1,0,2,1,0,outliers,17.8247070312,0.0691940492003,0.237825957803,3.99993990746,3.99394084828
1,0,2,1,1,uniform,0.123611390591,0.0278709029336,0.00149759422166,3.99993990746,3.99394084828
1,0,2,1,1,normal,0.4967212677,0.0477915948161,0.00560063866679,3.99993990746,3.99394084828
1,0,2,1,1,outliers,46.1752929688,0.093191035197,0.524410181958,3.99993990746,3.99394084828
